OUT_TIME 0.01
# ext_x ext_y center_x center_y angle theta1 theta2 moment3_norm moment3_angle ext_potential
-0.5 0.866025 0 0 0 33.2229 33.4562 -5 8.66025 -432.704 
-0.499013 0.864317 -3.8036e-07 0.000382226 0.00197239 33.2733 33.4779 -4.99013 8.64317 -433.606 
-0.496057 0.859197 -1.11492e-06 0.000658792 0.00332907 33.3085 33.4923 -4.96057 8.59197 -431.893 
-0.491144 0.850686 -1.86853e-06 0.000857209 0.00426096 33.333 33.5018 -4.91144 8.50686 -428.03 
-0.484292 0.838818 -2.51765e-06 0.000998835 0.00490203 33.35 33.5082 -4.84292 8.38818 -422.257 
-0.475528 0.823639 -3.03444e-06 0.00109968 0.0053451 33.3619 33.5125 -4.75528 8.23639 -414.708 
-0.464888 0.80521 -3.42941e-06 0.00117149 0.00565393 33.3702 33.5155 -4.64888 8.0521 -405.467 
-0.452414 0.783603 -3.72485e-06 0.00122276 0.00587211 33.3761 33.5176 -4.52414 7.83604 -394.594 
-0.438153 0.758904 -3.94374e-06 0.00125954 0.00602937 33.3804 33.519 -4.38154 7.58904 -382.148 
-0.422164 0.73121 -4.10576e-06 0.00128616 0.00614601 33.3835 33.5202 -4.22164 7.3121 -368.183 
-0.404509 0.70063 -4.22642e-06 0.00130565 0.00623592 33.3859 33.5211 -4.04509 7.0063 -352.757 
-0.385257 0.667284 -4.31746e-06 0.00132016 0.00630871 33.3877 33.5219 -3.85257 6.67285 -335.934 
-0.364485 0.631306 -4.38753e-06 0.00133122 0.00637111 33.3893 33.5226 -3.64485 6.31306 -317.781 
-0.342274 0.592836 -4.44295e-06 0.00133988 0.00642795 33.3907 33.5233 -3.42274 5.92836 -298.37 
-0.318712 0.552026 -4.48833e-06 0.00134691 0.0064828 33.3919 33.524 -3.18712 5.52026 -277.778 
-0.293893 0.509037 -4.52702e-06 0.00135285 0.00653849 33.3932 33.5248 -2.93893 5.09038 -256.087 
-0.267914 0.46404 -4.56153e-06 0.00135811 0.00659738 33.3944 33.5257 -2.67914 4.64041 -233.382 
-0.240877 0.417211 -4.5937e-06 0.00136296 0.00666164 33.3958 33.5267 -2.40877 4.17212 -209.753 
-0.21289 0.368736 -4.625e-06 0.00136764 0.00673343 33.3973 33.5278 -2.1289 3.68737 -185.294 
-0.184063 0.318806 -4.65657e-06 0.0013723 0.00681508 33.3989 33.5292 -1.84063 3.18806 -160.102 
-0.154509 0.267617 -4.68937e-06 0.00137708 0.00690926 33.4008 33.5307 -1.54509 2.67618 -134.276 
-0.124345 0.215372 -4.72418e-06 0.00138208 0.00701916 33.403 33.5325 -1.24346 2.15373 -107.918 
-0.093691 0.162278 -4.76169e-06 0.00138737 0.00714872 33.4056 33.5347 -0.936913 1.62278 -81.1344 
-0.0626669 0.108542 -4.8024e-06 0.00139301 0.00730293 33.4086 33.5373 -0.626672 1.08543 -54.0309 
-0.0313956 0.0543787 -4.84661e-06 0.00139899 0.0074882 33.4122 33.5405 -0.313959 0.543793 -26.7164 
-3.14159e-07 5.4414e-07 -4.89423e-06 0.00140525 0.0077129 33.4166 33.5443 -6.28319e-06 1.08828e-05 0.698701 
0.0313949 -0.0543776 -4.94443e-06 0.00141165 0.00798804 33.4219 33.5491 0.313946 -0.543771 28.1021 
0.0626663 -0.108541 -4.99508e-06 0.00141787 0.00832837 33.4283 33.5551 0.62666 -1.08541 55.3791 
0.0936903 -0.162276 -5.04157e-06 0.00142332 0.00875372 33.4363 33.5627 0.9369 -1.62276 82.411 
0.124345 -0.215371 -5.07474e-06 0.00142701 0.00929116 33.4462 33.5723 1.24344 -2.15371 109.073 
0.154508 -0.267616 -5.07679e-06 0.00142725 0.00997788 33.4588 33.5849 1.54508 -2.67616 135.227 
0.184062 -0.318805 -5.01356e-06 0.00142123 0.0108655 33.4748 33.6013 1.84062 -3.18804 160.715 
0.212889 -0.368735 -4.81918e-06 0.00140433 0.0120264 33.4954 33.6232 2.12889 -3.68735 185.334 
0.240877 -0.41721 -4.36543e-06 0.001369 0.0135625 33.5221 33.6526 2.40876 -4.1721 208.799 
0.267913 -0.464039 -3.39965e-06 0.00130304 0.0156185 33.5572 33.6926 2.67913 -4.64039 230.667 
0.293892 -0.509037 -1.41785e-06 0.00118691 0.0183996 33.6036 33.7478 2.93892 -5.09036 250.178 
0.318712 -0.552025 2.59133e-06 0.000990023 0.0221957 33.6656 33.8245 3.18712 -5.52025 265.959 
0.342273 -0.592835 1.06404e-05 0.000666469 0.0274077 33.7486 33.9319 3.42273 -5.92834 275.464 
0.364484 -0.631305 2.65774e-05 0.000153534 0.0345637 33.8601 34.0819 3.64484 -6.31305 274.038 
0.385256 -0.667284 5.69933e-05 -0.000616408 0.0442841 34.0088 34.2884 3.85256 -6.67283 253.822 
0.404508 -0.700629 0.000110321 -0.0016676 0.0571092 34.2035 34.5622 4.04508 -7.00629 204.025 
0.422164 -0.731209 0.000189128 -0.00288027 0.0731 34.4501 34.8999 4.22164 -7.31209 116.304 
0.438153 -0.758904 0.000273926 -0.00391804 0.0913601 34.7446 35.2726 4.38153 -7.58903 -3.88602 
0.452413 -0.783603 0.000320061 -0.00438535 0.110048 35.0683 35.6316 4.52413 -7.83603 -133.241 
0.464888 -0.80521 0.000292434 -0.0041615 0.127168 35.3896 35.9359 4.64888 -8.0521 -245.429 
0.475528 -0.823639 0.000198482 -0.00347022 0.141422 35.6762 36.1701 4.75528 -8.23639 -327.233 
0.484292 -0.838817 7.35243e-05 -0.00262761 0.152455 35.9097 36.3397 4.84291 -8.38817 -379.748 
0.491144 -0.850686 -5.04772e-05 -0.00184243 0.160569 36.0878 36.4581 4.91144 -8.50686 -410.741 
0.496057 -0.859196 -0.000156948 -0.00119709 0.166341 36.2177 36.539 4.96057 -8.59196 -428.047 
0.499013 -0.864316 -0.000241379 -0.000700406 0.17036 36.3101 36.5935 4.99013 -8.64316 -437.114 
0.5 -0.866025 -0.000305306 -0.000331884 0.173123 36.3746 36.6299 5 -8.66025 -441.115 
0.499013 -0.864317 -0.00035236 -6.43107e-05 0.175008 36.4192 36.6542 4.99013 -8.64317 -441.733 
0.496057 -0.859197 -0.00038638 0.000127375 0.176287 36.4499 36.6702 4.96057 -8.59197 -439.814 
0.491144 -0.850686 -0.000410699 0.000263546 0.177155 36.4709 36.6809 4.91144 -8.50686 -435.779 
0.484292 -0.838818 -0.000427961 0.000359804 0.177743 36.4854 36.688 4.84292 -8.38818 -429.84 
0.475528 -0.823639 -0.000440174 0.000427709 0.178144 36.4953 36.6927 4.75528 -8.23639 -422.115 
0.464888 -0.80521 -0.000448811 0.000475643 0.17842 36.5021 36.6959 4.64888 -8.0521 -412.677 
0.452414 -0.783603 -0.000454938 0.000509597 0.178611 36.5069 36.6981 4.52414 -7.83604 -401.584 
0.438153 -0.758904 -0.000459311 0.000533812 0.178747 36.5103 36.6997 4.38154 -7.58904 -388.89 
0.422164 -0.73121 -0.000462466 0.000551269 0.178845 36.5128 36.7008 4.22164 -7.3121 -374.651 
0.404509 -0.70063 -0.000464778 0.000564054 0.178919 36.5146 36.7016 4.04509 -7.0063 -358.925 
0.385257 -0.667284 -0.000466509 0.000573627 0.178977 36.5161 36.7023 3.85257 -6.67285 -341.775 
0.364485 -0.631306 -0.000467845 0.000581009 0.179026 36.5172 36.703 3.64485 -6.31306 -323.269 
0.342274 -0.592836 -0.000468915 0.000586921 0.179069 36.5183 36.7035 3.42274 -5.92836 -303.481 
0.318712 -0.552026 -0.000469812 0.000591873 0.17911 36.5192 36.7041 3.18712 -5.52026 -282.49 
0.293893 -0.509037 -0.000470601 0.000596235 0.179151 36.5201 36.7047 2.93893 -5.09038 -260.378 
